predationYN,contrast,white_strain,estimate,std.error,df,t_ratio,p_value,p_adj_BH,sig_vs_ancW
Choose value,ev1 - ancW,ev1,NA,NA,NA,NA,NA,NA,NA
Choose value,ev10 - ancW,ev10,NA,NA,NA,NA,NA,NA,NA
Choose value,ev11 - ancW,ev11,NA,NA,NA,NA,NA,NA,NA
Choose value,ev12 - ancW,ev12,NA,NA,NA,NA,NA,NA,NA
Choose value,ev2 - ancW,ev2,NA,NA,NA,NA,NA,NA,NA
Choose value,ev3 - ancW,ev3,NA,NA,NA,NA,NA,NA,NA
Choose value,ev4 - ancW,ev4,NA,NA,NA,NA,NA,NA,NA
Choose value,ev5 - ancW,ev5,NA,NA,NA,NA,NA,NA,NA
Choose value,ev6 - ancW,ev6,NA,NA,NA,NA,NA,NA,NA
Choose value,ev9 - ancW,ev9,NA,NA,NA,NA,NA,NA,NA
no,ev1 - ancW,ev1,0.16897725963618632,0.10960310117598825,52,1.5417196942708926,0.1292058257405705,0.7037913083609556,ns
no,ev10 - ancW,ev10,0.07321869230339907,0.13128523758595242,52,0.5577069718555584,0.5794376508688939,0.8117624148904781,ns
no,ev11 - ancW,ev11,0.10582200954399958,0.13128523758595248,52,0.806046525030797,0.4238869674125616,0.8117624148904781,ns
no,ev12 - ancW,ev12,0.043963950723025086,0.1312852375859524,52,0.3348735282917236,0.7390675966428938,0.8117624148904781,ns
no,ev2 - ancW,ev2,0.04796883330846996,0.18139662364503406,52,0.26444170979906306,0.7924849006776169,0.8117624148904781,ns
no,ev3 - ancW,ev3,0.23775747603828953,0.18139662364503414,52,1.310705079624553,0.19571686791817575,0.7037913083609556,ns
no,ev4 - ancW,ev4,0.12519722700896824,0.13128523758595234,52,0.9536276074223632,0.34468429075561313,0.8117624148904781,ns
no,ev5 - ancW,ev5,0.0262353064584661,0.10960310117598832,52,0.23936646114000368,0.8117624148904781,0.8117624148904781,ns
no,ev6 - ancW,ev6,-0.13876314553533137,0.10960310117598829,52,-1.2660512708716258,0.21113739250828667,0.7037913083609556,ns
no,ev9 - ancW,ev9,-0.055844741655046465,0.18139662364503412,52,-0.3078598737555679,0.7594187386811461,0.8117624148904781,ns
yes,ev1 - ancW,ev1,0.0597459304808142,0.13233413764685958,52,0.45147783892504945,0.6535225904417348,0.9951738909356933,ns
yes,ev10 - ancW,ev10,-0.0011071181308549402,0.18215719982629328,52,-0.006077817027878656,0.9951738909356933,0.9951738909356933,ns
yes,ev11 - ancW,ev11,0.10218844872451067,0.11085734150759656,52,0.9218013650228853,0.36088939448028057,0.9009581100095482,ns
yes,ev12 - ancW,ev12,0.11219505945168247,0.13233413764685947,52,0.8478164549730987,0.4004258266709103,0.9009581100095482,ns
yes,ev2 - ancW,ev2,0.01620496527318268,0.18215719982629344,52,0.08896143160213192,0.9294543110741569,0.9951738909356933,ns
yes,ev3 - ancW,ev3,-0.0030270372921533395,0.18215719982629303,52,-0.016617719722525123,0.986805185367444,0.9951738909356933,ns
yes,ev4 - ancW,ev4,0.1663735232883416,0.1323341376468594,52,1.2572230132508824,0.2142904073068463,0.9009581100095482,ns
yes,ev5 - ancW,ev5,0.013485176283092986,0.11085734150759656,52,0.12164441343895034,0.9036495098872454,0.9951738909356933,ns
yes,ev6 - ancW,ev6,-0.17255461116755325,0.18215719982629322,52,-0.947284056474863,0.347875575692568,0.9009581100095482,ns
yes,ev9 - ancW,ev9,NA,NA,NA,NA,NA,NA,NA
