group_number,white_strain,replicate,blue_strain,predationYN,num_blue_colonies_t6,num_white_colonies_t6,num_blue_colonies_t0,num_white_colonies_t0,total_count_t0_raw,total_count_t6_raw,has_both_timepoints,passes_min_colonies,blue_t0,white_t0,blue_t6,white_t6,total_t0,total_t6,pW_t0,pW_t6,delta_pW,delta_logit_pW,change_direction
Group 1,ancW,3,ancB,no,76,40,20,12,32,116,TRUE,TRUE,20,12,76,40,32,116,0.375,0.3448275862068966,-0.030172413793103425,-0.13102826240640386,decrease
Group 1,ancW,4,ancB,no,17,14,58,30,88,31,TRUE,TRUE,58,30,17,14,88,31,0.3409090909090909,0.45161290322580644,0.11070381231671556,0.4650896144433067,increase
Group 1,ancW,3,ancB,yes,2,3,20,12,32,5,TRUE,FALSE,20,12,2,3,32,5,0.375,0.6,0.22499999999999998,0.9162907318741549,increase
Group 1,ancW,4,ancB,yes,35,21,58,30,88,56,TRUE,TRUE,58,30,35,21,88,56,0.3409090909090909,0.375,0.034090909090909116,0.14842000511827336,increase
Group 1,ev1,3,ancB,no,54,31,11,2,13,85,TRUE,FALSE,11,2,54,31,13,85,0.15384615384615385,0.36470588235294116,0.2108597285067873,1.149751250159297,increase
Group 1,ev1,4,ancB,no,12,14,17,15,32,26,TRUE,TRUE,17,15,12,14,32,26,0.46875,0.5384615384615384,0.06971153846153844,0.2793138227812642,increase
Group 1,ev1,3,ancB,yes,79,12,11,2,13,91,TRUE,FALSE,11,2,79,12,13,91,0.15384615384615385,0.13186813186813187,-0.021978021978021983,-0.17979311044059587,decrease
Group 1,ev1,4,ancB,yes,62,28,17,15,32,90,TRUE,TRUE,17,15,62,28,32,90,0.46875,0.3111111111111111,-0.15763888888888888,-0.6697667319158815,decrease
Group 1,ev2,3,ancB,no,44,14,10,1,11,58,TRUE,FALSE,10,1,44,14,11,58,0.09090909090909091,0.2413793103448276,0.15047021943573669,1.157452788691043,increase
Group 1,ev2,4,ancB,no,59,26,NA,NA,NA,85,FALSE,FALSE,NA,NA,59,26,NA,85,NA,0.3058823529411765,NA,NA,no_change
Group 1,ev2,3,ancB,yes,6,29,10,1,11,35,TRUE,FALSE,10,1,6,29,11,35,0.09090909090909091,0.8285714285714286,0.7376623376623377,3.878121453752465,increase
Group 1,ev2,4,ancB,yes,58,23,NA,NA,NA,81,FALSE,FALSE,NA,NA,58,23,NA,81,NA,0.2839506172839506,NA,NA,no_change
Group 2,ancW,1,ancB,no,37,33,47,72,119,70,TRUE,TRUE,47,72,37,33,119,70,0.6050420168067226,0.4714285714285714,-0.13361344537815123,-0.5409288684837408,decrease
Group 2,ancW,2,ancB,no,96,106,54,44,98,202,TRUE,TRUE,54,44,96,106,98,202,0.4489795918367347,0.5247524752475248,0.07577288341079008,0.3038853152902441,increase
Group 2,ancW,1,ancB,yes,29,52,47,72,119,81,TRUE,TRUE,47,72,29,52,119,81,0.6050420168067226,0.6419753086419753,0.036933291835252624,0.15742937128895662,increase
Group 2,ancW,2,ancB,yes,65,60,54,44,98,125,TRUE,TRUE,54,44,65,60,98,125,0.4489795918367347,0.48,0.03102040816326529,0.12475170497247665,increase
Group 2,ev3,1,ancB,no,56,68,NA,NA,NA,124,FALSE,FALSE,NA,NA,56,68,NA,124,NA,0.5483870967741935,NA,NA,no_change
Group 2,ev3,1,ancB,yes,29,14,NA,NA,NA,43,FALSE,FALSE,NA,NA,29,14,NA,43,NA,0.32558139534883723,NA,NA,no_change
Group 2,ev4,2,ancB,no,104,116,30,18,48,220,TRUE,TRUE,30,18,104,116,48,220,0.375,0.5272727272727272,0.15227272727272723,0.6200249157309825,increase
Group 2,ev4,2,ancB,yes,80,71,30,18,48,151,TRUE,TRUE,30,18,80,71,48,151,0.375,0.47019867549668876,0.09519867549668876,0.3914788661334245,increase
Group 3,ancW,1,ancB,no,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change
Group 3,ancW,2,ancB,no,50,54,29,31,60,104,TRUE,TRUE,29,31,50,54,60,104,0.5166666666666667,0.5192307692307693,0.002564102564102555,0.010269666637456251,increase
Group 3,ancW,2B,ancB,no,33,30,44,56,100,63,TRUE,TRUE,44,56,33,30,100,63,0.56,0.47619047619047616,-0.08380952380952389,-0.3364722366212133,decrease
Group 3,ancW,3,ancB,no,49,24,69,66,135,73,TRUE,TRUE,69,66,49,24,135,73,0.4888888888888889,0.3287671232876712,-0.16012176560121766,-0.6693147051918473,decrease
Group 3,ancW,5,ancB,no,17,11,NA,NA,NA,28,FALSE,FALSE,NA,NA,17,11,NA,28,NA,0.39285714285714285,NA,NA,no_change
Group 3,ancW,1,ancB,yes,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_change
Group 3,ancW,2,ancB,yes,52,46,29,31,60,98,TRUE,TRUE,29,31,52,46,60,98,0.5166666666666667,0.46938775510204084,-0.04727891156462588,-0.18929369659100448,decrease
Group 3,ancW,2B,ancB,yes,170,152,44,56,100,322,TRUE,TRUE,44,56,170,152,100,322,0.56,0.4720496894409938,-0.08795031055900626,-0.35307997302087357,decrease
Group 3,ancW,3,ancB,yes,31,20,69,66,135,51,TRUE,TRUE,69,66,31,20,135,51,0.4888888888888889,0.39215686274509803,-0.09673202614379084,-0.39380316836032164,decrease
Group 3,ancW,5,ancB,yes,28,14,NA,NA,NA,42,FALSE,FALSE,NA,NA,28,14,NA,42,NA,0.3333333333333333,NA,NA,no_change
Group 3,ev5,2B,ancB,no,12,14,58,126,184,26,TRUE,TRUE,58,126,12,14,184,26,0.6847826086956522,0.5384615384615384,-0.14632107023411378,-0.6216882165778007,decrease
Group 3,ev5,3,ancB,no,15,12,98,74,172,27,TRUE,TRUE,98,74,15,12,172,27,0.43023255813953487,0.4444444444444444,0.014211886304909549,0.05775883415219238,increase
Group 3,ev5,2B,ancB,yes,68,73,58,126,184,141,TRUE,TRUE,58,126,68,73,184,141,0.6847826086956522,0.5177304964539007,-0.16705211224175154,-0.7048871604327744,decrease
Group 3,ev5,3,ancB,yes,36,15,98,74,172,51,TRUE,TRUE,98,74,36,15,172,51,0.43023255813953487,0.29411764705882354,-0.13611491108071133,-0.5945663518874975,decrease
Group 3,ev6,1,ancB,no,NA,NA,36,8,44,NA,FALSE,FALSE,36,8,NA,NA,44,NA,0.18181818181818182,NA,NA,NA,no_change
Group 3,ev6,2,ancB,no,4,2,205,105,310,6,TRUE,FALSE,205,105,4,2,310,6,0.3387096774193548,0.3333333333333333,-0.005376344086021501,-0.02409755157906035,decrease
Group 3,ev6,5,ancB,no,25,19,NA,NA,NA,44,FALSE,FALSE,NA,NA,25,19,NA,44,NA,0.4318181818181818,NA,NA,no_change
Group 3,ev6,1,ancB,yes,NA,NA,36,8,44,NA,FALSE,FALSE,36,8,NA,NA,44,NA,0.18181818181818182,NA,NA,NA,no_change
Group 3,ev6,2,ancB,yes,47,36,205,105,310,83,TRUE,TRUE,205,105,47,36,310,83,0.3387096774193548,0.43373493975903615,0.09502526233968134,0.4024209657269366,increase
Group 3,ev6,5,ancB,yes,16,17,NA,NA,NA,33,FALSE,FALSE,NA,NA,16,17,NA,33,NA,0.5151515151515151,NA,NA,no_change
Group 5,ancW,2,ancB,no,85,53,79,57,136,138,TRUE,TRUE,79,57,85,53,136,138,0.41911764705882354,0.38405797101449274,-0.0350596760443308,-0.14596275830572358,decrease
Group 5,ancW,2,ancB,yes,NA,NA,79,57,136,NA,FALSE,FALSE,79,57,NA,NA,136,NA,0.41911764705882354,NA,NA,NA,no_change
Group 5,ev9,2,ancB,no,98,13,6,0,6,111,TRUE,FALSE,6,0,98,13,6,111,0,0.11711711711711711,0.11711711711711711,Inf,increase
Group 5,ev9,2,ancB,yes,61,1,6,0,6,62,TRUE,FALSE,6,0,61,1,6,62,0,0.016129032258064516,0.016129032258064516,Inf,increase
Group 6,ancW,3,ancB,no,21,26,11,0,11,47,TRUE,FALSE,11,0,21,26,11,47,0,0.5531914893617021,0.5531914893617021,Inf,increase
Group 6,ancW,4,ancB,no,9,29,5,0,5,38,TRUE,FALSE,5,0,9,29,5,38,0,0.7631578947368421,0.7631578947368421,Inf,increase
Group 6,ancW,4,ancB,no,9,29,5,5,10,38,TRUE,FALSE,5,5,9,29,10,38,0.5,0.7631578947368421,0.26315789473684215,1.1700712526502548,increase
Group 6,ancW,1,ancB,yes,98,91,NA,NA,NA,189,FALSE,FALSE,NA,NA,98,91,NA,189,NA,0.48148148148148145,NA,NA,no_change
Group 6,ancW,2,ancB,yes,NA,NA,53,74,127,NA,FALSE,FALSE,53,74,NA,NA,127,NA,0.5826771653543307,NA,NA,NA,no_change
Group 6,ancW,3,ancB,yes,14,44,11,0,11,58,TRUE,FALSE,11,0,14,44,11,58,0,0.7586206896551724,0.7586206896551724,Inf,increase
Group 6,ancW,4,ancB,yes,13,28,5,0,5,41,TRUE,FALSE,5,0,13,28,5,41,0,0.6829268292682927,0.6829268292682927,Inf,increase
Group 6,ancW,4,ancB,yes,13,28,5,5,10,41,TRUE,FALSE,5,5,13,28,10,41,0.5,0.6829268292682927,0.18292682926829273,0.7672551527136674,increase
Group 6,ev11,4,ancB,no,117,219,20,14,34,336,TRUE,TRUE,20,14,117,219,34,336,0.4117647058823529,0.6517857142857143,0.24002100840336138,0.9835727389574773,increase
Group 6,ev11,4,ancB,no,117,219,4,22,26,336,TRUE,TRUE,4,22,117,219,26,336,0.8461538461538461,0.6517857142857143,-0.19436813186813184,-1.0778502972196804,decrease
Group 6,ev11,1,ancB,yes,24,17,1,18,19,41,TRUE,FALSE,1,18,24,17,19,41,0.9473684210526315,0.4146341463414634,-0.5327342747111681,-3.235212244187893,decrease
Group 6,ev11,2,ancB,yes,27,9,36,21,57,36,TRUE,TRUE,36,21,27,9,57,36,0.3684210526315789,0.25,-0.11842105263157893,-0.5596157879354229,decrease
Group 6,ev11,4,ancB,yes,11,30,20,14,34,41,TRUE,TRUE,20,14,11,30,34,41,0.4117647058823529,0.7317073170731707,0.3199426111908178,1.3599770528025172,increase
Group 6,ev11,4,ancB,yes,11,30,4,22,26,41,TRUE,TRUE,4,22,11,30,26,41,0.8461538461538461,0.7317073170731707,-0.11444652908067543,-0.7014459833746405,decrease
Group 6,ev12,3,ancB,no,58,82,NA,4,NA,140,FALSE,FALSE,NA,4,58,82,NA,140,NA,0.5857142857142857,NA,NA,no_change
Group 6,ev12,3,ancB,yes,68,88,NA,4,NA,156,FALSE,FALSE,NA,4,68,88,NA,156,NA,0.5641025641025641,NA,NA,no_change
