white_strain,predationYN,n,mean_pW_t0,mean_pW_t6,mean_delta_pW,sd_delta_pW,se_delta_pW,mean_delta_logit_pW,sd_delta_logit_pW,se_delta_logit_pW,ci95_lo_delta_logit,ci95_hi_delta_logit,err_ymin,err_ymax
ancW,Choose value,1,0.589041095890411,0.5,-0.08904109589041098,NA,NA,-0.3600027340314072,NA,NA,NA,NA,NA,-0.3600027340314072
ancW,no,20,0.5192996160950727,0.43630404481868784,-0.08299557127638482,0.18921709551282342,0.04231022880717436,-0.6839338774659374,1.7095401832752113,0.3822648060070821,-1.4331728972398183,0.0653051423079436,-1.4331728972398183,-0.6839338774659374
ancW,yes,17,0.4998172569510235,0.4266538180527007,-0.07316343889832283,0.18934454084782776,0.04592279656174539,-0.357661299142424,0.8967456329243987,0.21749276257992103,-0.7839471137990692,0.06862451551422122,-0.7839471137990692,-0.357661299142424
ev10,no,2,0.6863553113553114,0.6765784323823256,-0.009776878972985709,0.02640919671201476,0.01867412208075511,0.6313698836932411,1.0654929894348124,0.7534173181360823,-0.84532805985348,2.108067827239962,0.6313698836932411,2.108067827239962
ev10,yes,1,0.38461538461538464,0.3103448275862069,-0.07427055702917773,NA,NA,-0.32850406697203605,NA,NA,NA,NA,NA,-0.32850406697203605
ev2,no,1,0.3409090909090909,0.3058823529411765,-0.03502673796791439,NA,NA,-0.16019527699997327,NA,NA,NA,NA,NA,-0.16019527699997327
ev2,yes,1,0.3409090909090909,0.2839506172839506,-0.05695847362514028,NA,NA,-0.2657031657330057,NA,NA,NA,NA,NA,-0.2657031657330057
ev12,no,2,0.7435770750988142,0.7045454545454546,-0.03903162055335968,0.05519904714796171,0.03903162055335968,-0.2059479992192274,0.291254453639435,0.20594799921922738,-0.6096060776889131,0.19771007925045825,-0.6096060776889131,-0.2059479992192274
ev12,yes,2,0.7435770750988142,0.782608695652174,0.03903162055335968,0.05519904714796171,0.03903162055335968,0.2059479992192274,0.291254453639435,0.20594799921922738,-0.19771007925045825,0.6096060776889131,0.2059479992192274,0.6096060776889131
ev4,no,2,0.42976804123711343,0.47196969696969693,0.042201655732583554,0.15566400219701038,0.11007107154014366,0.1727140414139286,0.6325931050561446,0.4473108743170539,-0.704015272247497,1.0494433550753541,0.1727140414139286,1.0494433550753541
ev4,yes,2,0.42976804123711343,0.5229781256271323,0.09321008439001888,0.0028122925130670655,0.001988591106669879,0.37936795970134696,0.017127408128875535,0.012110906432077488,0.3556305830944751,0.4031053363082188,0.37936795970134696,0.4031053363082188
ev6,no,3,0.5324958309148032,0.3107371141030872,-0.2217587168117161,0.14488539874353745,0.08364962396622762,-1.6262890662482958,1.536273026690086,0.8869676455082823,-3.364745651444529,0.11216751894793742,-3.364745651444529,-1.6262890662482958
ev6,yes,1,0.7608695652173914,0.5151515151515151,-0.24571805006587621,NA,NA,-1.0968281668746085,NA,NA,NA,NA,NA,-1.0968281668746085
ev11,no,2,0.6289592760180995,0.6517857142857143,0.022826438267614768,0.3071595067597673,0.2171945701357466,-0.04713877913110154,1.4576462077750298,1.0307115180885786,-2.067333354584716,1.9730557963225126,-2.067333354584716,-0.04713877913110154
ev11,yes,3,0.542113201555926,0.5711382113821138,0.029025009826187814,0.2519498706036113,0.14546332561528635,0.032971760497484626,1.1514061991490039,0.6647646790252812,-1.2699670103920666,1.3359105313870359,0.032971760497484626,1.3359105313870359
ev9,no,1,0.2048780487804878,0.0660377358490566,-0.13884031293143118,NA,NA,-1.2931291185558826,NA,NA,NA,NA,NA,-1.2931291185558826
ev1,no,3,0.38655538435199455,0.47253707271179607,0.08598168835980155,0.15223964784440105,0.08789560166429879,0.32131216711866545,0.6925811245894986,0.3998618987174008,-0.4624171543674401,1.105041488604771,0.32131216711866545,1.105041488604771
ev1,yes,2,0.31712121212121214,0.3037037037037037,-0.013417508417508411,0.023165484784326926,0.016380471380471356,-0.060716111639211146,0.10602095233850468,0.0749681343464124,-0.20765365495817945,0.08622143167975715,-0.20765365495817945,-0.060716111639211146
ev3,no,1,0.3333333333333333,0.4880952380952381,0.15476190476190477,NA,NA,0.6455191315706909,NA,NA,NA,NA,0.6455191315706909,NA
ev3,yes,1,0.3333333333333333,0.2571428571428571,-0.0761904761904762,NA,NA,-0.3677247801253174,NA,NA,NA,NA,NA,-0.3677247801253174
ev5,no,3,0.5352519691919759,0.4784917043740573,-0.05676026481791864,0.0805530795815666,0.046507342180470826,-0.23909261406290805,0.34270533594816255,0.19786101796239278,-0.6269002092691979,0.14871498114338177,-0.6269002092691979,-0.23909261406290805
ev5,yes,3,0.5352519691919759,0.4755737065767461,-0.05967826261522985,0.10368345075414676,0.05986166820341594,-0.25359268916919386,0.43352009816790665,0.2502929453763539,-0.7441668621068475,0.23698148376845973,-0.7441668621068475,-0.25359268916919386
